PCODE,SHORT_NAME,LONG_NAME,Units,Threshold_Val_txt,Threshold_Type
61594,"Isofenphos, wf","Isofenphos, water, filtered, recoverable, micrograms per liter",µg/L,6,HBSL
61595,lambda-Cyhalothrin,"lambda-Cyhalothrin, water, filtered, recoverable, micrograms per liter",µg/L,7,HBSL
61596,"Metalaxyl, wf","Metalaxyl, water, filtered, recoverable, micrograms per liter",µg/L,500,HBSL
61598,"Methidathion, wf","Methidathion, water, filtered, recoverable, micrograms per liter",µg/L,1,HBSL
61599,"Myclobutanil, wf","Myclobutanil, water, filtered, recoverable, micrograms per liter",µg/L,200,HBSL
61600,"Oxyfluorfen, wf","Oxyfluorfen, water, filtered, recoverable, micrograms per liter",µg/L,20,HBSL
61601,"Phosmet, wf","Phosmet, water, filtered, recoverable, micrograms per liter",µg/L,4,HBSL
61606,"Tefluthrin, wf","Tefluthrin, water, filtered, recoverable, micrograms per liter",µg/L,40,HBSL
61610,"Tribuphos, wf","Tribuphos, water, filtered, recoverable, micrograms per liter",µg/L,7,HBSL
61636,"Chlorpyrifos oxon,wf","Chlorpyrifos oxygen analog, water, filtered, recoverable, micrograms per liter",µg/L,0.8,HBSL
61693,"Bensulfuron-methyl,f","Bensulfuron-methyl, water, filtered, recoverable, micrograms per liter",µg/L,1000,HBSL
61694,"Flumetsulam, wf","Flumetsulam, water, filtered, recoverable, micrograms per liter",µg/L,7000,HBSL
61695,"Imidacloprid, wf","Imidacloprid, water, filtered, recoverable, micrograms per liter",µg/L,400,HBSL
61697,"Metsulfuron, wf","Metsulfuron, water, filtered, recoverable, micrograms per liter",µg/L,2000,HBSL
62000,"Acetaminophen, wf","Acetaminophen, water, filtered, recoverable, micrograms per liter",µg/L,,
62003,"Codeine, wf","Codeine, water, filtered, recoverable, micrograms per liter",µg/L,,
62004,"Dehydronifedipine,wf","Dehydronifedipine, water, filtered, recoverable, micrograms per liter",µg/L,,
62005,"Cotinine, wf","Cotinine, water, filtered, recoverable, micrograms per liter",µg/L,,
